Name,Platform,Year_of_Release,Genre,Publisher,Global_Sales,Critic_Score,Critic_Count,User_Score,User_Count
Tony Hawks Pro Skater 3,PS2,2001.0,Sports,Activision,4.41,9.7,34.0,7.5,298.0
Winning Eleven: Pro Evolution Soccer 2007,PS2,2006.0,Sports,Konami Digital Entertainment,4.39,8.6,19.0,8.9,33.0
The Elder Scrolls IV: Oblivion,X360,2006.0,Role-Playing,Take-Two Interactive,4.39,9.4,90.0,8.7,1113.0
Fallout 4,XOne,2015.0,Role-Playing,Bethesda Softworks,4.37,8.8,39.0,6.2,1759.0
Need for Speed: Most Wanted,PS2,2005.0,Racing,Electronic Arts,4.37,8.2,36.0,9.1,138.0
Michael Jackson: The Experience,Wii,2010.0,Misc,Ubisoft,4.36,5.6,37.0,8.3,32.0
Resistance: Fall of Man,PS3,2006.0,Shooter,Sony Computer Entertainment,4.35,8.6,70.0,8.1,718.0
Kingdom Hearts II,PS2,2005.0,Role-Playing,Square Enix,4.33,8.7,64.0,9.0,778.0
Fable II,X360,2008.0,Role-Playing,Microsoft Game Studios,4.27,8.9,95.0,6.5,2427.0
Batman: Arkham Asylum,PS3,2009.0,Action,Eidos Interactive,4.24,9.1,70.0,8.9,1130.0
Namco Museum,GBA,2001.0,Misc,Namco Bandai Games,4.24,7.9,10.0,7.3,6.0
Metal Gear Solid 3: Snake Eater,PS2,2004.0,Action,Konami Digital Entertainment,4.23,9.1,68.0,9.3,968.0
FIFA 14,X360,2013.0,Sports,Electronic Arts,4.22,8.4,41.0,4.2,436.0
Assassins Creed: Revelations,PS3,2011.0,Action,Ubisoft,4.22,8.0,39.0,7.5,620.0
Daxter,PSP,2006.0,Platform,Sony Computer Entertainment,4.21,8.5,59.0,8.7,109.0
FIFA Soccer 06,PS2,2005.0,Sports,Electronic Arts,4.21,8.0,32.0,7.8,47.0
EyeToy Play,PS2,2003.0,Misc,Sony Computer Entertainment,4.2,8.0,32.0,7.5,22.0
Assassins Creed: Revelations,X360,2011.0,Action,Ubisoft,4.2,8.0,77.0,7.2,570.0
Gran Turismo 5 Prologue,PS3,2007.0,Racing,Sony Computer Entertainment,4.19,8.0,67.0,7.1,120.0
Street Fighter IV,PS3,2009.0,Fighting,Capcom,4.17,9.4,61.0,7.3,331.0
Madden NFL 2003,PS2,2002.0,Sports,Electronic Arts,4.14,9.5,25.0,7.7,65.0
The Witcher 3: Wild Hunt,PS4,2015.0,Role-Playing,Namco Bandai Games,4.14,9.2,79.0,9.2,10270.0
Half-Life,PC,1997.0,Shooter,Vivendi Games,4.12,9.6,24.0,9.1,3179.0
Watch Dogs,PS4,2014.0,Action,Ubisoft,4.09,8.0,80.0,6.3,3018.0
World of Warcraft: The Burning Crusade,PC,2007.0,Role-Playing,Activision,4.09,9.1,46.0,7.9,789.0
Batman: Arkham Knight,PS4,2015.0,Action,Warner Bros. Interactive Entertainment,4.09,8.7,89.0,7.6,2715.0
God of War II,PS2,2007.0,Action,Sony Computer Entertainment,4.07,9.3,70.0,8.9,718.0
Far Cry 4,PS4,2014.0,Shooter,Ubisoft,4.06,8.5,83.0,7.7,1663.0
Fallout: New Vegas,X360,2010.0,Role-Playing,Bethesda Softworks,4.06,8.4,81.0,8.1,775.0
Carnival Games,Wii,2007.0,Misc,Take-Two Interactive,4.05,5.6,27.0,6.0,44.0
Forza Motorsport 2,X360,2007.0,Racing,Microsoft Game Studios,4.05,9.0,66.0,8.3,381.0
Tekken Tag Tournament,PS2,2000.0,Fighting,Namco Bandai Games,4.05,8.5,25.0,8.5,118.0
Tom Clancys The Division,PS4,2016.0,Shooter,Ubisoft,4.0,8.0,64.0,7.0,2234.0
Assassins Creed: Unity,PS4,2014.0,Action,Ubisoft,3.99,7.0,40.0,4.9,2069.0
Left 4 Dead 2,X360,2009.0,Shooter,Electronic Arts,3.97,8.9,76.0,8.6,684.0
Fallout 3,PS3,2008.0,Role-Playing,Bethesda Softworks,3.95,9.0,57.0,8.0,916.0
The Legend of Zelda: Skyward Sword,Wii,2011.0,Action,Nintendo,3.95,9.3,81.0,7.9,1972.0
Professor Layton and the Diabolical Box,DS,2007.0,Puzzle,Nintendo,3.94,8.4,65.0,8.8,73.0
The Elder Scrolls V: Skyrim,PC,2011.0,Role-Playing,Bethesda Softworks,3.92,9.4,32.0,8.1,9142.0
Monster Hunter 4 Ultimate,3DS,2014.0,Role-Playing,Nintendo,3.92,8.6,80.0,8.7,348.0
EA Sports Active,Wii,2009.0,Sports,Electronic Arts,3.91,8.1,27.0,8.7,39.0
NBA 2K16,PS4,2015.0,Sports,Take-Two Interactive,3.9,8.7,51.0,6.7,369.0
Tony Hawks Underground,PS2,2003.0,Sports,Activision,3.9,9.0,38.0,8.7,121.0
Tekken 5,PS2,2005.0,Fighting,Namco Bandai Games,3.87,8.8,62.0,8.7,233.0
MotorStorm,PS3,2006.0,Racing,Sony Computer Entertainment,3.87,8.4,9.0,7.3,224.0
World Soccer Winning Eleven 8 International,PS2,2004.0,Sports,Konami Digital Entertainment,3.85,9.1,26.0,9.1,38.0
Sports Champions,PS3,2010.0,Sports,Sony Computer Entertainment,3.85,7.6,64.0,7.9,104.0
Call of Duty: Ghosts,PS4,2013.0,Shooter,Activision,3.83,7.8,49.0,3.7,1570.0
Flash Focus: Vision Training in Minutes a Day,DS,2007.0,Misc,Nintendo,3.83,5.9,22.0,4.0,4.0
Big Brain Academy: Wii Degree,Wii,2007.0,Misc,Nintendo,3.79,6.8,33.0,6.9,39.0
LEGO Indiana Jones: The Original Adventures,X360,2008.0,Action,Activision,3.76,7.7,60.0,7.5,65.0
The Sims: Unleashed,PC,2002.0,Simulation,Electronic Arts,3.76,7.9,21.0,7.7,30.0
Harry Potter and the Sorcerers Stone,PS,2001.0,Action,Electronic Arts,3.73,6.4,11.0,7.5,43.0
Assassins Creed IV: Black Flag,PS3,2013.0,Action,Ubisoft,3.72,8.8,36.0,8.1,846.0
Super Paper Mario,Wii,2007.0,Platform,Nintendo,3.72,8.5,56.0,7.9,423.0
Spyro: Year of the Dragon,PS,2000.0,Platform,Sony Computer Entertainment,3.71,9.1,15.0,8.8,210.0
FIFA Soccer 2005,PS2,2004.0,Sports,Electronic Arts,3.7,8.1,27.0,7.6,56.0
Tony Hawks Pro Skater 4,PS2,2002.0,Sports,Activision,3.67,9.4,27.0,8.5,129.0
MySims,DS,2007.0,Simulation,Electronic Arts,3.66,6.7,15.0,6.9,14.0
Midnight Club 3: DUB Edition,PSP,2005.0,Racing,Take-Two Interactive,3.65,7.4,34.0,8.4,31.0
SOCOM: U.S. Navy SEALs,PS2,2002.0,Shooter,Sony Computer Entertainment,3.65,8.2,42.0,7.9,83.0
