Name,Platform,Year_of_Release,Genre,Publisher,Global_Sales,Critic_Score,Critic_Count,User_Score,User_Count,Game_Score
The Lord of the Rings: The Two Towers,X,2002.0,Action,Electronic Arts,0.71,7.9,17.0,8.1,18.0,17.40348057299535
Madden NFL 2003,X,2002.0,Sports,Electronic Arts,0.71,9.2,16.0,8.3,16.0,18.571017661932625
Skate,X360,2007.0,Sports,Electronic Arts,0.71,8.6,59.0,8.4,137.0,21.99668624115833
Ben 10: Protector of Earth,PSP,2007.0,Action,D3Publisher,0.71,6.0,4.0,7.2,23.0,15.298665592360166
Virtua Fighter 4: Evolution,PS2,2003.0,Fighting,Sega,0.71,9.3,30.0,9.0,48.0,20.439640582365058
Crysis,PC,2007.0,Shooter,Electronic Arts,0.71,9.1,56.0,8.0,1983.0,22.971873584560363
The Sims 2: Castaway,DS,2007.0,Simulation,Electronic Arts,0.71,6.6,8.0,4.0,5.0,12.844465838115044
Resident Evil: Survivor,PS,2000.0,Action,Eidos Interactive,0.71,3.9,10.0,7.0,47.0,12.29225756966222
Godzilla: Destroy All Monsters Melee,GC,2002.0,Fighting,Atari,0.71,7.3,30.0,7.8,24.0,17.431797201817297
Silent Hill 3,PS2,2003.0,Action,Konami Digital Entertainment,0.71,8.5,41.0,8.8,321.0,20.452771733929374
Spyro: Enter the Dragonfly,GC,2002.0,Platform,Universal Interactive,0.71,4.8,13.0,5.1,24.0,11.732991595658746
Power Rangers: Dino Thunder,PS2,2004.0,Action,THQ,0.71,4.9,6.0,6.2,5.0,12.894336934760334
Madden NFL 08,PSP,2007.0,Sports,Electronic Arts,0.71,7.5,10.0,6.8,8.0,16.45301138294266
Madden NFL 09,PSP,2008.0,Sports,Electronic Arts,0.71,6.8,8.0,6.5,4.0,15.692931568699274
Call of Duty: Ghosts,PC,2013.0,Shooter,Activision,0.71,6.8,14.0,2.1,3416.0,14.938204446902233
Dynasty Warriors 6,PS3,2007.0,Action,Tecmo Koei,0.71,5.9,31.0,7.2,50.0,16.893006594122156
NCAA Football 09,X360,2008.0,Sports,Electronic Arts,0.71,8.3,24.0,7.7,26.0,19.066537958374184
Doom 3: Resurrection of Evil,X,2005.0,Shooter,Activision,0.71,7.7,41.0,7.9,16.0,19.171553511282518
SSX,X360,2012.0,Sports,Electronic Arts,0.7,8.2,65.0,6.4,186.0,21.1875513224781
Dragon Quest Swords: The Masked Queen and the Tower of Mirrors,Wii,2007.0,Role-Playing,Square Enix,0.7,6.5,43.0,5.9,21.0,16.800847022138463
Two Worlds,X360,2007.0,Role-Playing,SouthPeak Games,0.7,5.0,44.0,5.5,183.0,15.377037300207625
Watch Dogs 2,XOne,2016.0,Action,Ubisoft,0.7,8.3,10.0,7.5,160.0,19.83453553922074
Tony Hawks Underground,GC,2003.0,Sports,Activision,0.7,8.9,19.0,8.5,24.0,18.936344552362083
Spider-Man 2,PSP,2005.0,Action,Activision,0.7,6.7,43.0,6.9,8.0,17.505043980688068
NCAA Football 08,X360,2007.0,Sports,Electronic Arts,0.7,8.1,30.0,7.8,44.0,19.167254621120367
Star Wars: Obi-Wan,X,2001.0,Action,Activision,0.7,5.8,28.0,5.9,14.0,14.013668062967369
Ace Attorney Investigations: Miles Edgeworth,DS,2009.0,Adventure,Capcom,0.7,7.8,51.0,8.4,79.0,21.26849839437413
Catherine,PS3,2011.0,Adventure,Deep Silver,0.7,7.9,61.0,8.1,377.0,22.28723473496633
Kill.Switch,PS2,2003.0,Shooter,Sony Computer Entertainment,0.7,7.3,33.0,8.3,19.0,18.323908994162288
SplashDown,PS2,2001.0,Racing,Atari,0.7,8.4,22.0,8.2,11.0,17.983035781347134
Jade Empire,X,2005.0,Role-Playing,Microsoft Game Studios,0.7,8.9,84.0,8.6,113.0,23.515187294527387
Infinite Undiscovery,X360,2008.0,Role-Playing,Square Enix,0.7,6.8,60.0,7.0,158.0,19.473845494760102
The Last Guardian,PS4,2016.0,Action,Sony Computer Entertainment,0.7,8.2,99.0,7.6,1410.0,26.099397058376503
NHL 12,X360,2011.0,Sports,Electronic Arts,0.7,8.6,56.0,7.0,73.0,21.257715939158462
Advance Wars,GBA,2001.0,Strategy,Nintendo,0.7,9.2,28.0,9.0,95.0,19.830405882850513
NASCAR 2001,PS2,2000.0,Racing,Electronic Arts,0.7,6.6,16.0,6.6,9.0,14.384028266880225
Mafia,PS2,2004.0,Action,Illusion Softworks,0.7,6.5,30.0,7.6,63.0,17.057555311511113
Ape Escape: On the Loose,PSP,2005.0,Platform,Sony Computer Entertainment,0.7,6.6,35.0,6.5,17.0,16.54476359101859
MLB 08: The Show,PS3,2008.0,Sports,Sony Computer Entertainment,0.7,8.5,33.0,8.7,76.0,20.796915033472647
Mobile Suit Gundam: Journey to Jaburo,PS2,2000.0,Simulation,Namco Bandai Games,0.7,5.8,16.0,8.1,49.0,15.257338906304751
TimeSplitters 2,PS2,2002.0,Shooter,Eidos Interactive,0.7,9.0,33.0,8.8,127.0,20.018410891782686
Omerta: City of Gangsters,X360,2011.0,Simulation,Konami Digital Entertainment,0.7,4.3,18.0,3.3,25.0,11.821745287380558
Driver: San Francisco,X360,2011.0,Racing,Ubisoft,0.7,8.0,63.0,7.6,130.0,21.83994818869124
James Bond 007: Blood Stone,PS3,2010.0,Shooter,Activision,0.7,6.5,49.0,7.4,46.0,19.321451301260314
Classic NES Series: Zelda II: The Adventure of Link,GBA,2004.0,Adventure,Nintendo,0.7,7.3,8.0,7.5,40.0,16.22952257296289
Metal Gear Solid: Portable Ops Plus,PSP,2007.0,Action,Konami Digital Entertainment,0.69,6.5,19.0,7.5,27.0,16.913210060321138
LEGO Rock Band,Wii,2009.0,Misc,Warner Bros. Interactive Entertainment,0.69,7.0,15.0,6.8,6.0,16.794819173439624
Need for Speed Rivals,XOne,2013.0,Racing,Electronic Arts,0.69,7.5,18.0,5.8,175.0,17.363923614754743
Halo 2 Multiplayer Map Pack,X,2005.0,Shooter,Microsoft Game Studios,0.69,8.9,37.0,7.4,34.0,19.39364334581107
The Sims: Medieval,PC,2011.0,Simulation,Electronic Arts,0.69,7.7,56.0,6.0,174.0,19.616256445980266
Mortal Kombat: Shaolin Monks,PS2,2005.0,Action,Midway Games,0.69,7.7,41.0,8.6,77.0,19.89993979567995
MotionSports,X360,2010.0,Sports,Ubisoft,0.69,4.0,30.0,4.0,10.0,12.783940771326312
MX vs. ATV Unleashed: On the Edge,PSP,2006.0,Racing,THQ,0.69,6.8,22.0,8.1,7.0,17.698656784674863
Mario Pinball Land,GBA,2004.0,Misc,Nintendo,0.69,6.2,35.0,4.9,11.0,14.42210326071945
Sniper Elite 3,PS4,2014.0,Shooter,505 Games,0.69,6.7,41.0,7.1,180.0,19.64658538886387
Dragon Ball Z: Budokai,GC,2003.0,Fighting,Atari,0.69,6.5,16.0,6.4,16.0,14.763340046155005
Plants vs. Zombies: Garden Warfare,XOne,2014.0,Shooter,Electronic Arts,0.69,7.6,65.0,7.4,440.0,22.293795618755535
The Sims 2: Apartment Pets,DS,2008.0,Simulation,Electronic Arts,0.69,5.0,12.0,3.3,4.0,11.34195815953098
Harry Potter and the Chamber of Secrets,GC,2002.0,Action,Electronic Arts,0.69,7.7,14.0,8.3,27.0,17.261832168762982
Prince of Persia: The Forgotten Sands,PS3,2010.0,Action,Ubisoft,0.69,7.5,49.0,7.5,122.0,20.261047254434033
The Lord of the Rings: The Return of the King,GC,2003.0,Action,Electronic Arts,0.69,8.4,23.0,8.5,21.0,18.78176814122969
Top Spin 4,PS3,2011.0,Sports,Take-Two Interactive,0.69,8.2,37.0,7.7,55.0,20.454087246092843
Baldurs Gate: Dark Alliance II,PS2,2004.0,Role-Playing,Interplay,0.68,7.8,44.0,8.7,54.0,20.02908536305889
Shark Tale,GBA,2004.0,Action,Activision,0.68,6.3,8.0,9.0,4.0,16.894160938139166
IL-2 Sturmovik: Birds of Prey,PS3,2009.0,Simulation,505 Games,0.68,8.1,28.0,7.3,20.0,18.96827173564049
Test Drive Unlimited 2,X360,2011.0,Racing,Atari,0.68,6.8,61.0,6.4,87.0,19.548315633526666
LEGO Jurassic World,XOne,2015.0,Action,Warner Bros. Interactive Entertainment,0.68,7.0,17.0,6.7,44.0,18.14784030750548
NBA Street Vol. 2,X,2003.0,Sports,Electronic Arts,0.68,8.9,22.0,8.8,24.0,19.414957733074502
MX vs. ATV Untamed,X360,2007.0,Racing,THQ,0.68,7.0,43.0,7.1,17.0,18.38002918004376
The Last Remnant,X360,2008.0,Role-Playing,Square Enix,0.68,6.6,49.0,6.9,123.0,18.516987602004736
NCAA Football 2005,X,2004.0,Sports,Electronic Arts,0.68,8.9,29.0,8.0,12.0,19.263509849828505
Wolfenstein: The New Order,XOne,2014.0,Shooter,Bethesda Softworks,0.68,7.9,18.0,7.8,399.0,20.016738406451793
The Sly Collection,PS3,2010.0,Platform,Sony Computer Entertainment,0.68,8.5,46.0,8.8,172.0,22.18705810751921
Naruto: Clash of Ninja,GC,2003.0,Fighting,Tomy Corporation,0.68,7.2,21.0,8.1,20.0,17.30877757704766
Prince of Persia: The Two Thrones,PS2,2005.0,Action,Ubisoft,0.68,8.5,46.0,8.6,113.0,20.863541028803887
Hot Shots Golf: Open Tee 2,PSP,2007.0,Sports,Sony Computer Entertainment,0.68,8.2,42.0,8.6,12.0,20.751987169472805
Iron Man,PS3,2008.0,Action,Sega,0.68,4.2,27.0,6.2,45.0,14.519875423323423
Suikoden II,PS,1998.0,Role-Playing,Konami Digital Entertainment,0.68,8.2,8.0,8.4,163.0,16.602852148622638
RIFT,PC,2011.0,Role-Playing,Trion Worlds,0.68,8.4,59.0,7.3,562.0,21.88420973467023
FIFA Soccer 06,X,2005.0,Sports,Electronic Arts,0.68,8.0,39.0,7.5,22.0,18.891948840479074
Terraria,X360,2013.0,Action,505 Games,0.68,8.1,39.0,7.1,140.0,20.391702100439076
Fight Night 2004,X,2004.0,Fighting,Electronic Arts,0.68,8.5,47.0,8.7,20.0,20.74773359256914
.hack//Mutation Part 2,PS2,2002.0,Role-Playing,Atari,0.68,7.6,24.0,8.9,81.0,18.42224201785855
Cars: Mater-National Championship,DS,2007.0,Racing,THQ,0.68,6.9,7.0,6.8,5.0,15.787296727477138
Kirbys Dream Collection: Special Edition,Wii,2012.0,Action,Nintendo,0.68,8.2,6.0,8.8,37.0,19.845088306575388
Return to Castle Wolfenstein: Tides of War,X,2003.0,Shooter,Activision,0.67,8.4,38.0,8.8,33.0,20.004271440372275
The Evil Within,XOne,2014.0,Action,Bethesda Softworks,0.67,7.9,24.0,7.3,432.0,19.91002204327018
Spider-Man 3,PS3,2007.0,Platform,Activision,0.67,6.0,33.0,7.0,40.0,16.88670931520076
F1 2015,PS4,2015.0,Racing,Codemasters,0.67,6.5,46.0,6.4,44.0,19.232533129277332
100 Classic Books,DS,2008.0,Misc,Nintendo,0.67,7.0,7.0,6.0,12.0,15.296541571789351
Mass Effect,PC,2008.0,Role-Playing,Electronic Arts,0.67,8.9,45.0,8.6,2411.0,23.213281060915072
Star Wars: Republic Commando,X,2005.0,Shooter,Activision,0.67,7.8,54.0,8.9,89.0,21.07912758680114
Armored Core 3,PS2,2002.0,Simulation,Metro 3D,0.67,7.4,23.0,9.0,33.0,18.26975951017723
The LEGO Movie Videogame,PS4,2014.0,Action,Warner Bros. Interactive Entertainment,0.67,7.1,31.0,7.1,98.0,19.296984098181287
Turok,PS3,2008.0,Action,Touchstone,0.67,6.7,38.0,6.0,39.0,16.977513589594125
Red Steel,Wii,2006.0,Shooter,Ubisoft,0.67,6.3,54.0,6.8,121.0,18.048840593617783
Unreal Tournament III,PS3,2007.0,Shooter,Midway Games,0.67,8.6,42.0,7.7,127.0,20.250562612116465
The Sims 3,DS,2010.0,Simulation,Electronic Arts,0.67,7.3,9.0,6.4,20.0,16.49361005991743
Napoleon: Total War,PC,2010.0,Strategy,Sega,0.67,8.1,56.0,7.9,517.0,21.808233369094012
Fossil Fighters: Champions,DS,2010.0,Role-Playing,Nintendo,0.67,6.8,8.0,7.1,11.0,16.721850430782172
"The Chronicles of Narnia: The Lion, The Witch and The Wardrobe",GBA,2005.0,Action,Disney Interactive Studios,0.67,6.6,7.0,6.8,5.0,15.112487049850856
NFL Street,X,2004.0,Sports,Electronic Arts,0.66,8.1,38.0,8.8,9.0,19.967634605064543
Final Fantasy Crystal Chronicles: Ring of Fates,DS,2007.0,Role-Playing,Square Enix,0.66,7.7,41.0,7.1,26.0,18.81664809672577
Blazing Angels: Squadrons of WWII,PS3,2006.0,Simulation,Ubisoft,0.66,6.7,26.0,6.9,9.0,16.675869254665418
Bakugan: Battle Brawlers,Wii,2009.0,Action,Activision,0.66,6.2,12.0,7.2,11.0,16.37090303887776
WWE SmackDown vs. RAW 2007,PSP,2006.0,Fighting,THQ,0.66,7.8,13.0,8.1,21.0,17.946011062582564
Tony Hawks Proving Ground,PS2,2007.0,Sports,Activision,0.66,6.5,6.0,6.6,17.0,15.215829291472517
The Darkness,PS3,2007.0,Shooter,Take-Two Interactive,0.66,8.0,35.0,7.7,109.0,19.332166333695028
MLB 2004,PS2,2003.0,Sports,Sony Computer Entertainment,0.66,6.1,21.0,7.9,9.0,16.228365667171317
BioShock Infinite,PC,2013.0,Shooter,Take-Two Interactive,0.66,9.4,68.0,8.5,7350.0,29.108196164001612
Darkstone,PS,2001.0,Role-Playing,Electronic Arts,0.66,5.8,10.0,8.4,13.0,15.37666082394693
NCAA March Madness 2003,PS2,2002.0,Sports,Electronic Arts,0.66,7.4,13.0,8.0,27.0,16.662258403955718
Thrillville,PS2,2006.0,Strategy,Atari,0.66,6.9,32.0,2.9,52.0,13.273800540286777
Lollipop Chainsaw,PS3,2012.0,Action,Warner Bros. Interactive Entertainment,0.66,6.7,37.0,7.1,199.0,18.974292364757574
Tom Clancys EndWar,PS3,2008.0,Strategy,Ubisoft,0.66,7.6,33.0,6.6,42.0,17.979598991511214
Castlevania: Lords of Shadow,X360,2010.0,Action,Konami Digital Entertainment,0.66,8.3,70.0,7.8,239.0,22.55179269494674
NHL 10,X360,2009.0,Sports,Electronic Arts,0.66,8.8,52.0,8.4,71.0,22.114599972921997
Street Fighter Anniversary Collection,PS2,2004.0,Fighting,Capcom,0.66,7.8,30.0,8.7,20.0,19.146488396364354
NHL 13,X360,2012.0,Sports,Electronic Arts,0.66,8.3,44.0,6.6,86.0,20.109046187298485
Rayman Legends,WiiU,2013.0,Platform,Ubisoft,0.66,9.2,35.0,8.7,467.0,22.805110160397994
The Sims: Bustin Out,GC,2003.0,Simulation,Electronic Arts,0.66,8.1,30.0,9.0,15.0,19.46054901750704
Ratatouille,PSP,2007.0,Action,THQ,0.66,6.4,7.0,7.1,7.0,15.686014589246993
The Crew,XOne,2014.0,Racing,Ubisoft,0.66,6.4,18.0,5.9,177.0,16.805020113430082
Shrek: Hassle at the Castle,GBA,2002.0,Action,TDK Mediactive,0.66,7.1,7.0,7.4,5.0,15.448636147794353
Suikoden IV,PS2,2004.0,Role-Playing,Konami Digital Entertainment,0.66,6.3,44.0,7.4,48.0,17.54625034064132
Gods Eater Burst,PSP,2010.0,Action,Namco Bandai Games,0.66,7.1,30.0,7.9,35.0,19.11525696770078
Fist of the North Star: Kens Rage,PS3,2010.0,Action,Ubisoft Annecy,0.66,6.0,30.0,6.9,29.0,17.24895332589182
One Piece: Pirate Warriors 2,PS3,2013.0,Action,Namco Bandai Games,0.66,7.1,35.0,7.8,61.0,19.992707234880292
Brothers In Arms: Road to Hill 30,X,2005.0,Shooter,Ubisoft,0.66,8.8,64.0,8.0,69.0,21.583137058067994
Mortal Kombat,PSV,2012.0,Fighting,Warner Bros. Interactive Entertainment,0.65,8.5,51.0,7.8,192.0,21.949621770449017
Freedom Wars,PSV,2014.0,Role-Playing,Sony Computer Entertainment,0.65,7.3,39.0,8.3,266.0,21.236719629164966
Kung Fu Panda,PS2,2008.0,Action,Activision,0.65,7.3,6.0,8.6,5.0,18.038270328018005
Evolve,XOne,2015.0,Shooter,Take-Two Interactive,0.65,7.4,31.0,5.1,337.0,17.92266075917077
The Last Story,Wii,2011.0,Role-Playing,Nintendo,0.65,8.0,61.0,8.4,179.0,22.533710279573285
Shaun White Snowboarding,PS3,2008.0,Sports,Ubisoft,0.65,6.3,30.0,6.3,26.0,16.455326022577605
Radiata Stories,PS2,2005.0,Role-Playing,Square Enix,0.65,7.4,36.0,9.1,55.0,19.831231213630733
Far Cry 4,PC,2014.0,Shooter,Ubisoft,0.65,8.0,17.0,6.7,1079.0,19.370103559695995
Wario: Master of Disguise,DS,2007.0,Platform,Nintendo,0.65,6.0,35.0,7.4,19.0,17.389688614834213
F-Zero GX,GC,2003.0,Racing,Nintendo,0.65,8.9,50.0,8.6,163.0,21.019247566435414
Disney's Chicken Little,PS2,2005.0,Platform,Disney Interactive Studios,0.65,6.0,20.0,8.9,7.0,17.50974019986188
Scene It? Box Office Smash,X360,2008.0,Misc,Microsoft Game Studios,0.65,7.6,32.0,7.4,25.0,18.69769111755456
Yoshi Topsy-Turvy,GBA,2004.0,Platform,Nintendo,0.65,6.0,23.0,6.6,5.0,15.200109485065886
Monster Jam: Maximum Destruction,PS2,2002.0,Racing,Ubisoft,0.65,4.7,11.0,6.0,6.0,12.403129649990321
Tiger Woods PGA Tour 09,PS3,2008.0,Sports,Electronic Arts,0.65,8.2,34.0,7.2,9.0,19.08905147129288
Tiger Woods PGA Tour 09,X360,2008.0,Sports,Electronic Arts,0.65,8.4,41.0,7.8,29.0,20.28337118543425
Assassins Creed IV: Black Flag,PC,2013.0,Action,Ubisoft,0.65,8.4,10.0,7.7,1483.0,20.282865780407707
Advance Wars 2: Black Hole Rising,GBA,2003.0,Strategy,Nintendo,0.65,8.9,34.0,9.4,97.0,20.787242524460112
Borderlands 2,PSV,2014.0,Shooter,Take-Two Interactive,0.65,6.4,31.0,7.6,358.0,19.396499992771975
Drakengard,PS2,2003.0,Role-Playing,Square Enix,0.65,6.3,55.0,9.1,89.0,19.709452054329212
Champions: Return to Arms,PS2,2005.0,Role-Playing,Sony Online Entertainment,0.65,7.7,48.0,8.8,43.0,20.50160036534219
Harry Potter and the Goblet of Fire,PS2,2005.0,Action,Electronic Arts,0.65,6.8,29.0,6.7,48.0,16.54719834935147
007: Quantum of Solace,Wii,2008.0,Action,Activision,0.65,5.4,11.0,7.5,26.0,15.76152423612876
Tiger Woods PGA Tour 10,X360,2009.0,Sports,Electronic Arts,0.65,8.0,51.0,6.9,20.0,19.901347674071168
Overwatch,PC,2016.0,Shooter,Activision,0.65,9.1,62.0,6.8,4160.0,25.471805848274848
Crash Bandicoot Purple: Riptos Rampage,GBA,2004.0,Platform,Vivendi Games,0.64,6.7,23.0,6.8,13.0,15.957721177979389
Need For Speed: Undercover,Wii,2008.0,Racing,Electronic Arts,0.64,5.4,12.0,6.2,29.0,14.537964694753848
The LEGO Movie Videogame,WiiU,2014.0,Action,Warner Bros. Interactive Entertainment,0.64,6.8,5.0,7.7,25.0,18.007643215154946
Spyro: A Heros Tail,PS2,2004.0,Platform,Vivendi Games,0.64,6.0,16.0,8.0,44.0,16.17854996931115
Crash: Twinsanity,PS2,2004.0,Platform,Vivendi Games,0.64,6.4,38.0,8.0,132.0,17.9013912299559
Quantum Break,XOne,2016.0,Action,Microsoft Game Studios,0.64,7.7,106.0,6.8,1682.0,25.50473208311308
Drawn to Life: The Next Chapter,DS,2009.0,Puzzle,THQ,0.64,7.2,21.0,7.7,22.0,18.21651715786067
Max Payne 2: The Fall of Max Payne,X,2003.0,Shooter,Take-Two Interactive,0.64,8.4,34.0,8.2,50.0,19.172801280149372
GoldenEye: Rogue Agent,PS2,2004.0,Shooter,Electronic Arts,0.64,6.0,38.0,7.0,32.0,16.53201249823363
WWE 2K15,X360,2014.0,Sports,Take-Two Interactive,0.64,5.0,5.0,4.0,65.0,12.943979064663505
Star Ocean: First Departure,PSP,2007.0,Role-Playing,Square Enix,0.64,7.4,32.0,7.4,28.0,18.321916760634664
James Bond 007: Everything or Nothing,X,2004.0,Shooter,Electronic Arts,0.64,8.3,51.0,7.4,27.0,19.548678720606205
NHL 16,PS4,2015.0,Sports,Electronic Arts,0.64,7.8,28.0,5.5,158.0,18.33846076780781
X2: Wolverines Revenge,PS2,2003.0,Platform,Activision,0.64,5.8,24.0,7.2,13.0,15.482241392110607
NBA Live 06,X,2005.0,Sports,Electronic Arts,0.64,7.9,30.0,6.4,15.0,17.16359976255266
Rayman 3D,3DS,2011.0,Platform,Ubisoft,0.64,6.1,39.0,6.5,49.0,17.713138469445667
Football Manager 2014,PC,2013.0,Sports,Sega,0.64,8.5,41.0,5.5,277.0,19.331224136334946
TimeSplitters 2,X,2002.0,Shooter,Eidos Interactive,0.64,8.8,20.0,7.7,34.0,17.909074690470586
Onimusha: Dawn of Dreams,PS2,2006.0,Action,Capcom,0.64,8.1,45.0,8.9,63.0,20.963253173696437
Sengoku Basara: Samurai Heroes,PS3,2010.0,Action,Capcom,0.64,6.1,37.0,7.9,29.0,18.74474050907236
Stuntman: Ignition,X360,2007.0,Racing,THQ,0.64,7.5,38.0,7.3,31.0,18.672490865137895
Real Heroes: Firefighter,Wii,2009.0,Action,Rondomedia,0.64,6.7,18.0,8.2,10.0,18.12234643767931
Dead or Alive 5,PS3,2012.0,Fighting,Tecmo Koei,0.64,7.4,34.0,7.7,109.0,19.880860761433663
Paper Mario: Color Splash,WiiU,2016.0,Role-Playing,Nintendo,0.64,7.6,73.0,6.9,226.0,22.58600825990261
Dragon Ball: Raging Blast 2,X360,2010.0,Fighting,Namco Bandai Games,0.64,5.7,33.0,7.4,31.0,17.68838782396654
NHL 13,PS3,2012.0,Sports,Electronic Arts,0.64,8.4,22.0,6.8,60.0,19.017771746913965
Lemony Snickets A Series of Unfortunate Events,PS2,2004.0,Platform,Activision,0.64,6.3,25.0,5.7,12.0,14.674262097132168
Lost Planet: Extreme Condition,PS3,2008.0,Shooter,Capcom,0.64,6.7,34.0,7.0,36.0,17.715916875011253
X-Men Legends II: Rise of Apocalypse,PS2,2005.0,Role-Playing,Activision,0.63,8.2,44.0,7.3,41.0,19.166252721141028
LEGO Star Wars II: The Original Trilogy,X360,2006.0,Action,LucasArts,0.63,8.1,50.0,8.0,45.0,20.36758122976404
Rock Band 3,Wii,2010.0,Misc,MTV Games,0.63,9.1,10.0,6.9,36.0,18.484564214750904
Dragon Age II,PC,2011.0,Action,Electronic Arts,0.63,8.2,45.0,4.5,4546.0,20.590404010320402
Tony Hawks Pro Skater 2x,X,2001.0,Sports,Activision,0.63,7.8,24.0,8.8,5.0,18.21130223042618
NBA Live 08,PS3,2007.0,Sports,Electronic Arts,0.63,7.3,28.0,6.8,10.0,17.39126362142695
Shin Megami Tensei: Persona 3 Portable,PSP,2009.0,Role-Playing,Ghostlight,0.63,8.9,40.0,8.3,321.0,21.512277174459843
FIFA Soccer 2003,X,2002.0,Sports,Electronic Arts,0.63,8.8,11.0,7.7,11.0,17.34128569336278
The Lord of the Rings: Conquest,X360,2009.0,Action,Electronic Arts,0.63,5.5,58.0,7.0,111.0,18.499394907126728
NASCAR 06: Total Team Control,PS2,2005.0,Racing,Electronic Arts,0.63,7.8,18.0,7.7,18.0,17.634329755173166
Dogz,GBA,2004.0,Simulation,Ubisoft,0.63,4.8,9.0,6.3,13.0,13.094210732430327
White Knight Chronicles II,PS3,2010.0,Role-Playing,Sony Computer Entertainment,0.63,6.0,45.0,7.2,65.0,18.48541907662657
Iron Man,PSP,2008.0,Action,Sega,0.63,4.4,7.0,6.5,16.0,13.724487961133837
Wolfenstein,PS3,2009.0,Shooter,Activision,0.63,7.1,58.0,7.4,77.0,20.144262505503406
The Sims 3: Generations,PC,2011.0,Simulation,Electronic Arts,0.63,7.0,22.0,3.6,81.0,14.53551077178811
Juiced 2: Hot Import Nights,X360,2007.0,Racing,THQ,0.63,6.8,24.0,7.5,22.0,17.448584426817217
The Walking Dead: Survival Instinct,X360,2013.0,Shooter,Activision,0.63,3.2,30.0,4.0,412.0,13.04746653411427
Ape Escape 2,PS2,2002.0,Platform,Sony Computer Entertainment,0.63,8.2,31.0,8.4,33.0,18.79819407516321
Sega Rally Revo,PS3,2007.0,Racing,Sega,0.63,7.5,40.0,7.0,20.0,18.490525053393327
Shin Megami Tensei: Persona 3 FES,PS2,2007.0,Role-Playing,Tecmo Koei,0.63,8.9,25.0,8.3,298.0,20.141913000743372
Angry Birds Trilogy,3DS,2012.0,Action,Activision,0.63,6.2,7.0,4.6,20.0,14.148255416009835
FIFA Soccer 2002,PS2,2001.0,Sports,Electronic Arts,0.63,8.2,17.0,5.8,28.0,15.14679662496547
Condemned 2: Bloodshot,X360,2008.0,Action,Sega,0.63,8.0,76.0,8.4,178.0,22.79813078665555
Okami,PS2,2006.0,Action,Capcom,0.63,9.3,69.0,9.3,333.0,23.95278135245473
NHL 2001,PS,2000.0,Sports,Electronic Arts,0.63,8.8,10.0,7.7,7.0,16.841929358675895
Crysis 3,PC,2013.0,Shooter,Electronic Arts,0.63,7.6,47.0,6.5,1232.0,20.57160307976196
Just Dance 3,PS3,2011.0,Misc,Ubisoft,0.63,7.5,5.0,6.0,7.0,16.21660084468514
Buzz Lightyear of Star Command,PS,2000.0,Platform,Activision,0.63,5.4,10.0,5.4,5.0,11.865949670272864
Ghostbusters: The Video Game,X360,2009.0,Action,Atari,0.63,7.9,53.0,8.5,125.0,21.59075645751049
Tony Hawks Project 8,PS3,2006.0,Sports,Activision,0.63,7.6,43.0,7.1,15.0,18.63205085641296
XCOM: Enemy Unknown,X360,2012.0,Strategy,Take-Two Interactive,0.63,9.0,35.0,8.3,367.0,21.96694807838752
Metal Gear Solid 2: Substance,X,2002.0,Action,Konami Digital Entertainment,0.62,8.7,28.0,8.5,39.0,19.11273581699518
Tony Hawks American Wasteland,X,2005.0,Sports,Activision,0.62,7.7,40.0,7.7,15.0,18.901945857409757
Wild ARMs 3,PS2,2002.0,Role-Playing,Ubisoft,0.62,7.8,30.0,8.5,39.0,18.520757207369513
Madden NFL 07,GC,2006.0,Sports,Electronic Arts,0.62,8.2,14.0,9.2,5.0,19.398536486096198
Tiger Woods PGA Tour 2004,X,2003.0,Sports,Electronic Arts,0.62,8.9,18.0,8.2,14.0,18.56328145057922
Test Drive Unlimited 2,PS3,2011.0,Racing,Atari,0.62,7.0,43.0,6.1,44.0,18.27237744237258
Tak 2: The Staff of Dreams,PS2,2004.0,Platform,THQ,0.62,7.1,31.0,8.0,10.0,17.949027868926777
LEGO Pirates of the Caribbean: The Video Game,3DS,2011.0,Action,Disney Interactive Studios,0.62,7.1,16.0,7.3,20.0,17.866731247940404
Donkey Kong Barrel Blast,Wii,2007.0,Racing,Nintendo,0.62,4.6,34.0,6.8,26.0,15.62427258943109
Viewtiful Joe,GC,2003.0,Action,Capcom,0.62,9.3,52.0,8.3,117.0,21.130795549071873
Guitar Hero: Metallica,PS3,2009.0,Misc,Activision,0.62,8.6,44.0,8.0,48.0,21.050475149538983
The Urbz: Sims in the City,GBA,2004.0,Simulation,Electronic Arts,0.62,7.2,6.0,9.2,25.0,17.690570013938093
Strike Force Bowling,PS2,2004.0,Sports,Play It,0.62,4.8,14.0,6.8,4.0,13.888799034663208
Red Steel 2,Wii,2010.0,Shooter,Ubisoft,0.62,8.0,73.0,8.5,179.0,23.147961541731465
Scribblenauts: Unlimited,3DS,2012.0,Action,Warner Bros. Interactive Entertainment,0.62,7.3,13.0,7.4,21.0,18.158734109485106
DJ Hero 2,Wii,2010.0,Misc,Activision,0.62,8.8,20.0,7.5,17.0,19.44036443519665
Disney Infinity,WiiU,2013.0,Action,Disney Interactive Studios,0.62,7.1,10.0,7.6,58.0,18.254570457306972
